original_email,corrected_email,correction_date,correction_type
john.doe@gmial.com,john.doe@gmail.com,2025-04-17T12:40:15Z,domain_typo
sales@acme.comau,sales@acme.com.au,2025-04-17T12:41:22Z,tld
CONTACT@widgets.net.au,contact@widgets.net.au,2025-04-17T12:42:10Z,case
support@tech corp.com.au,support@techcorp.com.au,2025-04-17T12:43:05Z,whitespace
info+newsletter@gmail.com,info@gmail.com,2025-04-17T12:44:18Z,gmail_alias
marketing@bussiness.com.au,marketing@business.com.au,2025-04-17T12:45:20Z,domain_typo
hr@enterprise.netau,hr@enterprise.net.au,2025-04-17T12:46:42Z,tld
admin@organizetion.org.au,admin@organization.org.au,2025-04-17T12:47:15Z,domain_typo
enquiries@shop.cm.au,enquiries@shop.com.au,2025-04-17T12:48:30Z,domain_typo
finance@corporation..com.au,finance@corporation.com.au,2025-04-17T12:49:22Z,syntax
